c_abasava.tga e_empire0009.tga
c_lalahar.tga c_province1151.tga
c_laliel.tga c_province1159.tga
c_laline.tga d_duchy1053.tga
c_laloa.tga c_province1042.tga
c_lamacob.tga c_province1065.tga
c_lamaim.tga c_province1069.tga
c_lamelec.tga c_province1053.tga
c_lamert.tga k_kingdom0953.tga
c_lamilge.tga d_duchy0933.tga
c_lamudo.tga c_province0929.tga
c_lamurna.tga c_province0933.tga
c_lanail.tga d_duchy0953.tga
c_lanam.tga c_province0945.tga
c_lanarat.tga c_province0953.tga
c_laning.tga e_empire0954.tga
c_lanius.tga k_kingdom0954.tga
c_lanna.tga d_duchy0954.tga
c_lanoka.tga c_province0946.tga
c_lanoor.tga c_province0957.tga
c_lanucho.tga c_province0954.tga
c_lanyamo.tga e_empire0956.tga
c_laoji.tga k_kingdom0956.tga
c_lapudo.tga d_duchy0956.tga
c_larahad.tga c_province0956.tga
c_larais.tga e_empire0970.tga
c_laranu.tga k_kingdom0955.tga
c_larard.tga d_duchy0955.tga
c_laraud.tga c_province0955.tga
c_laravid.tga k_kingdom0967.tga
c_lardus.tga d_duchy0947.tga
c_lareer.tga c_province0943.tga
c_larert.tga c_province0947.tga
c_laret.tga d_duchy0967.tga
c_lareth.tga c_province0952.tga
c_lareva.tga c_province0967.tga
c_larey.tga k_kingdom0970.tga
c_larizhen.tga d_duchy0970.tga
c_larohn.tga c_province0970.tga
c_laromon.tga e_empire0976.tga
c_larrao.tga k_kingdom0976.tga
c_larunai.tga d_duchy0976.tga
c_laryan.tga c_province0976.tga
c_laryuan.tga e_empire0982.tga
c_lasajan.tga k_kingdom0974.tga
c_lasaran.tga d_duchy0964.tga
c_lasidia.tga c_province0951.tga
c_latema.tga c_province0964.tga
c_lathani.tga d_duchy0974.tga
c_latheek.tga c_province0960.tga
c_lathutar.tga c_province0983.tga
c_latiek.tga c_province0988.tga
c_lauftun.tga c_province0974.tga
c_laufwar.tga k_kingdom0982.tga
c_laulara.tga d_duchy0978.tga
c_laulint.tga c_province0965.tga
c_lava.tga c_province0993.tga
c_lavava.tga c_province0978.tga
c_lavuti.tga d_duchy1006.tga
c_lawa.tga c_province0997.tga
c_layabia.tga c_bali.tga
c_layania.tga c_province1006.tga
c_layaret.tga d_duchy0982.tga
c_layatar.tga c_province0973.tga
c_layavje.tga c_province0987.tga
c_laydas.tga c_province0994.tga
c_lebegen.tga c_province0982.tga
c_lebenda.tga e_empire1004.tga
c_lecund.tga k_kingdom0989.tga
c_lecyka.tga d_duchy0989.tga
c_ledila.tga c_province0989.tga
c_lefach.tga k_kingdom1036.tga
c_lefofie.tga d_duchy1036.tga
c_leirohn.tga c_province1025.tga
c_lekara.tga c_province1028.tga
c_lekeek.tga c_province1049.tga
c_lekirek.tga c_province1036.tga
c_lekovke.tga k_kingdom1004.tga
c_leliek.tga d_duchy1004.tga
c_leloan.tga c_province0996.tga
c_lelozar.tga c_province1003.tga
c_lem.tga c_province1004.tga
c_lema.tga e_empire1005.tga
c_lemar.tga k_kingdom0963.tga
c_lemayn.tga d_duchy0963.tga
c_lemuara.tga c_province0963.tga
c_lenad.tga k_kingdom0968.tga
c_lenarma.tga d_duchy0968.tga
c_lenitya.tga c_province0968.tga
c_leodis.tga k_kingdom0981.tga
c_leonying.tga d_duchy0981.tga
c_ler.tga c_province0975.tga
c_leraksa.tga c_province0985.tga
c_lerann.tga c_province0981.tga
c_lereinn.tga k_kingdom1005.tga
c_lermaham.tga d_duchy1005.tga
c_lerolas.tga c_province0992.tga
c_lerujin.tga c_province1005.tga
c_lesotia.tga e_empire1018.tga
c_letebia.tga k_kingdom1018.tga
c_leupeir.tga d_duchy1018.tga
c_leupur.tga c_province1012.tga
c_levuti.tga c_province1018.tga
c_leyeos.tga e_empire1030.tga
c_lian.tga k_kingdom0884.tga
c_libala.tga d_duchy0884.tga
c_libarid.tga c_province0884.tga
c_libatta.tga k_kingdom1014.tga
c_libith.tga d_duchy1014.tga
c_liboska.tga c_province1014.tga
c_liciwan.tga k_kingdom1030.tga
c_licyi.tga d_duchy1021.tga
c_lidani.tga c_province1015.tga
c_lieltun.tga c_province1021.tga
c_lietire.tga d_duchy1030.tga
c_ligerge.tga c_province1029.tga
c_liguta.tga c_province1030.tga
c_lija.tga e_empire1034.tga
c_lijew.tga k_kingdom1034.tga
c_lijoman.tga d_duchy1034.tga
c_likan.tga c_province1034.tga
c_likinie.tga e_empire1047.tga
c_lilaig.tga k_kingdom1047.tga
c_lilin.tga d_duchy1047.tga
c_lilkas.tga c_province1043.tga
c_limaim.tga c_province1054.tga
c_limava.tga c_province1060.tga
c_linano.tga c_province1047.tga
c_lineas.tga e_empire1064.tga
c_linipa.tga k_kingdom1056.tga
c_linon.tga d_duchy1056.tga
c_lint.tga c_province1050.tga
c_liruatl.tga c_province1056.tga
c_lisida.tga k_kingdom1064.tga
c_liteodat.tga d_duchy1064.tga
c_liudorm.tga c_province1064.tga
c_liugaac.tga e_empire1073.tga
c_livenes.tga k_kingdom1073.tga
c_lizarun.tga d_duchy1073.tga
c_lobaud.tga c_province1058.tga
c_lodahim.tga c_province1079.tga
c_lodobos.tga c_province1073.tga
c_logah.tga e_empire1083.tga
c_lohille.tga k_kingdom1038.tga
c_lohisa.tga d_duchy1022.tga
c_loj.tga c_province1016.tga
c_lokoda.tga c_province1023.tga
c_lolain.tga c_province1022.tga
c_lolakrim.tga d_duchy1038.tga
c_lolaya.tga c_province1037.tga
c_loluin.tga c_province1038.tga
c_loma.tga k_kingdom1057.tga
c_loma-va.tga d_duchy1057.tga
c_lomayka.tga c_province1057.tga
c_lomint.tga k_kingdom1083.tga
c_lonenes.tga d_duchy1072.tga
c_lonimon.tga c_province1055.tga
c_loputlu.tga c_province1066.tga
c_loran.tga c_province1078.tga
c_loranka.tga c_province1072.tga
c_loripa.tga d_duchy1083.tga
c_lorobos.tga c_venetian_highlands.tga
c_lorofie.tga c_province1083.tga
c_loruigi.tga e_empire1097.tga
c_loruraq.tga k_melbourne.tga
c_losana.tga d_melbourne.tga
c_losann.tga c_province1075.tga
c_losasin.tga c_melbourne.tga
c_losinat.tga k_kingdom1097.tga
c_losoku.tga d_duchy1097.tga
c_losye.tga c_province1097.tga
c_lotad.tga e_empire1102.tga
c_loteis.tga k_kingdom1102.tga
c_lotella.tga d_duchy1089.tga
c_loter.tga c_province1081.tga
c_lotona.tga c_province1087.tga
c_lotuke.tga c_province1100.tga
c_loucoul.tga c_province1089.tga
c_lozalka.tga d_duchy1108.tga
c_lubapal.tga c_province1099.tga
c_lubelbo.tga c_province1114.tga
c_lubele.tga c_province1118.tga
c_lubella.tga c_province1108.tga
c_lubewal.tga d_duchy1113.tga
c_ludan.tga c_province1098.tga
c_luhailo.tga c_province1113.tga
c_luigi.tga d_duchy1124.tga
c_luke.tga c_province1115.tga
c_lulinn.tga c_province1131.tga
c_lumann.tga c_province1138.tga
c_lumeba.tga c_province1124.tga
c_lumeuta.tga d_duchy1136.tga
c_lumida.tga c_province1129.tga
c_lumita.tga c_province1136.tga
c_lumoman.tga d_duchy1102.tga
c_lumoyan.tga c_province1090.tga
c_luragos.tga c_province1102.tga
c_luran.tga e_empire1127.tga
c_lurana.tga k_kingdom1127.tga
c_lyasozar.tga d_duchy1127.tga
c_lyataht.tga c_province1127.tga
c_lyaud.tga e_empire1143.tga
c_lyuha.tga k_phobos.tga
c_lyuviuva.tga d_phobos.tga
c_lyuvodis.tga c_province1139.tga
c_naarozar.tga c_phobos.tga
c_naboun.tga e_empire1145.tga
c_nacaim.tga k_kingdom1145.tga
c_nacijah.tga d_duchy1132.tga
c_nacoka.tga c_province1120.tga
c_nacouhi.tga c_province1132.tga
c_nadecca.tga d_duchy1148.tga
c_nadund.tga c_province1128.tga
c_nagiami.tga c_province1152.tga
c_nagija.tga c_province1148.tga
c_nagipa.tga d_duchy1145.tga
c_nagutar.tga c_province1137.tga
c_nahalo.tga c_province1144.tga
c_naharie.tga c_province1145.tga
c_nahava.tga e_empire1153.tga
c_naheer.tga k_kingdom1153.tga
c_nahihan.tga d_duchy1153.tga
c_nahita.tga c_province1153.tga
c_nahoete.tga e_empire1168.tga
c_naidipa.tga k_kingdom1168.tga
c_najisa.tga d_duchy1168.tga
c_najiuva.tga c_province1156.tga
c_nakarma.tga c_province1168.tga
c_nakazja.tga e_empire1175.tga
c_nalann.tga k_kingdom1134.tga
c_nalawma.tga d_duchy1111.tga
c_naleth.tga c_province1095.tga
c_nalew.tga c_province1107.tga
c_naliz.tga c_province1109.tga
c_nalosye.tga c_province1111.tga
c_naluzma.tga d_duchy1140.tga
c_namabib.tga c_province1121.tga
c_namasad.tga c_province1146.tga
c_namekel.tga c_province1149.tga
c_namelec.tga c_province1140.tga
c_namijah.tga d_duchy1158.tga
c_namint.tga c_province1154.tga
c_namm.tga c_province1155.tga
c_namote.tga c_province1158.tga
c_namuo.tga d_duchy1164.tga
c_nanama.tga c_province1157.tga
c_nanana.tga c_province1174.tga
c_nanarin.tga c_province1164.tga
c_naneba.tga d_duchy1134.tga
c_nanetar.tga c_province1122.tga
c_nanodia.tga c_province1126.tga
c_nanodis.tga c_province1134.tga
c_nanoor.tga k_kingdom1207.tga
c_nant.tga d_duchy1185.tga
c_narahu.tga c_province1165.tga
c_naran.tga c_province1180.tga
c_narandi.tga c_province1182.tga
c_naranna.tga c_province1191.tga
c_naravid.tga c_province1185.tga
c_naret.tga d_duchy1207.tga
c_nareth.tga c_province1197.tga
c_narid.tga c_province1218.tga
c_narifa.tga c_province1247.tga
c_naruin.tga c_province1207.tga
c_naruko.tga k_kingdom1175.tga
c_nasa.tga d_duchy1175.tga
c_nasegin.tga c_province1166.tga
c_nasia.tga c_province1169.tga
c_nasiyen.tga c_province1179.tga
c_nasuatl.tga c_province1175.tga
c_nataga.tga e_empire1177.tga
c_natd.tga k_kingdom1177.tga
c_nategs.tga d_duchy1177.tga
c_nathilvi.tga c_province1177.tga
c_natili.tga e_empire1184.tga
c_natin.tga k_kingdom1172.tga
c_natizam.tga d_duchy1161.tga
c_natuel.tga c_alba_mons.tga
c_natur.tga c_province1161.tga
c_naulaqar.tga d_duchy1172.tga
c_nauluke.tga c_province1163.tga
c_nauruti.tga c_province1170.tga
c_navabib.tga c_province1173.tga
c_navaicu.tga c_province1172.tga
c_navaim.tga k_kingdom1184.tga
c_navanca.tga d_duchy1167.tga
c_navid.tga c_province1162.tga
c_navunda.tga c_province1167.tga
c_nawumay.tga d_duchy1187.tga
c_naxiska.tga c_province1176.tga
c_naya.tga c_province1201.tga
c_nayabai.tga c_province1187.tga
c_nay-ita.tga d_duchy1193.tga
c_nayyur.tga c_province1183.tga
c_nazi.tga c_province1195.tga
c_neatda.tga c_province1209.tga
c_nebierr.tga c_province1213.tga
c_necaim.tga c_province1193.tga
c_nechem.tga d_duchy1194.tga
c_necijah.tga c_province1186.tga
c_necya.tga c_province1188.tga
c_nedui.tga c_province1194.tga
c_neetdat.tga d_duchy1205.tga
c_negalc.tga c_province1196.tga
c_negin.tga c_province1205.tga
c_negokia.tga d_duchy1219.tga
c_negus.tga c_province1217.tga
c_neilaka.tga c_province1219.tga
c_neinaud.tga d_duchy1222.tga
c_neineth.tga c_province1210.tga
c_neiruk.tga c_province1222.tga
c_neitek.tga d_duchy1234.tga
c_nekad.tga c_province1200.tga
c_nekegin.tga c_province1248.tga
c_nekirek.tga c_province1234.tga
c_nelaod.tga d_duchy1238.tga
c_nelaria.tga c_olympus_mons.tga
c_nelarma.tga c_province1238.tga
c_neleuta.tga d_duchy1246.tga
c_neline.tga c_province1216.tga
c_nelit.tga c_province1228.tga
c_nelle.tga c_province1236.tga
c_nelusha.tga c_province1263.tga
c_nemergun.tga c_province1246.tga
c_nenatta.tga d_duchy1184.tga
c_nenecol.tga c_province1171.tga
c_neneram.tga c_province1178.tga
c_nenozar.tga c_province1181.tga
c_nenude.tga c_province1190.tga
c_nenzu.tga c_province1184.tga
c_neoan.tga e_empire1215.tga
c_neoka.tga k_kingdom1199.tga
c_neomna.tga d_duchy1199.tga
c_neonala.tga c_province1199.tga
c_neonca.tga k_kingdom1215.tga
c_nerar.tga d_duchy1215.tga
c_nerashir.tga c_province1215.tga
c_nerivka.tga e_empire1243.tga
c_nermaham.tga k_kingdom1204.tga
c_nernudo.tga d_duchy1204.tga
c_ner-ona.tga c_province1192.tga
c_netalta.tga c_province1204.tga
c_netille.tga k_kingdom1239.tga
c_neuta.tga d_duchy1239.tga
c_nevaran.tga c_province1229.tga
c_neyfine.tga c_province1245.tga
c_niaged.tga c_province1239.tga
c_nibawa.tga k_kingdom1243.tga
c_nibona.tga d_duchy1202.tga
c_nibosz.tga c_province1189.tga
c_niceter.tga c_province1225.tga
c_nie.tga c_province1202.tga
c_nielita.tga d_duchy1265.tga
c_nifa.tga c_province1231.tga
c_nigaus.tga c_province1254.tga
c_nik.tga c_province1265.tga
c_nilaga.tga d_duchy1243.tga
c_nilani.tga c_province1224.tga
c_nilirai.tga c_province1243.tga
c_nilof.tga e_empire1252.tga
c_nima.tga k_kingdom1252.tga
c_ninahar.tga d_duchy1211.tga
c_ninanka.tga c_province1203.tga
c_ninatia.tga c_province1227.tga
c_nineka.tga c_province1211.tga
c_ninnanie.tga d_duchy1253.tga
c_nionano.tga c_province1233.tga
c_niriza.tga c_province1250.tga
c_niruin.tga c_province1266.tga
c_nisa.tga c_province1253.tga
c_nisam.tga d_duchy1252.tga
c_nisana.tga c_province1235.tga
c_nisim.tga c_province1273.tga
c_nisom.tga c_province1252.tga
c_nisula.tga e_empire1283.tga
c_nitach.tga k_kingdom1264.tga
c_nitegin.tga d_duchy1232.tga
c_nitiisa.tga c_province1198.tga
c_niubald.tga c_province1214.tga
c_nivaka.tga c_province1220.tga
c_nivilvi.tga c_province1232.tga
c_nivuliu.tga d_duchy1280.tga
c_niya.tga c_province1262.tga
c_nizaac.tga c_province1285.tga
c_nizahim.tga c_province1280.tga
c_nizozar.tga d_duchy1264.tga
c_noanius.tga c_province1244.tga
c_noche.tga c_province1258.tga
c_nodahim.tga c_province1264.tga
c_nodiyah.tga k_kingdom1283.tga
c_nodoja.tga d_duchy1282.tga
c_nogijah.tga c_province1275.tga
c_nogoj.tga c_province1294.tga
c_noguigi.tga c_province1282.tga
c_nohalin.tga d_duchy1289.tga
c_nohas.tga c_province1279.tga
c_nohela.tga c_province1303.tga
c_nohuone.tga c_province1289.tga
c_nohuwe.tga d_duchy1283.tga
c_nojinat.tga c_province1278.tga
c_noka.tga c_province1283.tga
c_nokalram.tga e_empire1288.tga
c_nola.tga k_kingdom1288.tga
c_nolas.tga d_duchy1288.tga
c_nola-va.tga c_province1288.tga
c_nomas.tga e_empire1301.tga
c_nona.tga k_kingdom1284.tga
c_nonada.tga d_duchy1284.tga
c_nonno.tga c_province1271.tga
c_noraimur.tga c_province1284.tga
c_noralo.tga k_kingdom1301.tga
c_norarde.tga d_duchy1301.tga
c_noreye.tga c_province1301.tga
c_noripa.tga e_empire1310.tga
c_noruin.tga k_kingdom1310.tga
c_nosardu.tga d_duchy1310.tga
c_nosucha.tga c_province1310.tga
c_nosunai.tga e_empire1322.tga
c_notato.tga k_kingdom1221.tga
c_notosz.tga d_duchy1212.tga
c_novayase.tga c_province1206.tga
c_nuboras.tga c_province1226.tga
c_nucash.tga c_province1230.tga
c_nucodis.tga c_province1212.tga
c_nudagha.tga d_duchy1261.tga
c_nudahar.tga c_province1241.tga
c_nudirai.tga c_province1261.tga
c_nudoj.tga d_duchy1221.tga
c_nudokal.tga c_province1208.tga
c_nuju.tga c_province1223.tga
c_nukani.tga c_province1221.tga
c_nuke.tga k_kingdom1291.tga
c_nukipac.tga d_duchy1257.tga
c_numacob.tga c_province1242.tga
c_numathi.tga c_pavonis_mons.tga
c_numencia.tga c_province1257.tga
c_numenda.tga d_duchy1269.tga
c_numius.tga c_province1251.tga
c_numokal.tga c_province1274.tga
c_nunanu.tga c_province1269.tga
c_nunasa.tga d_duchy1270.tga
c_nund.tga c_province1255.tga
c_nunofan.tga c_province1259.tga
c_nuoja.tga c_province1276.tga
c_nurek.tga c_province1270.tga
c_nuulila.tga d_duchy1291.tga
c_nuwima.tga c_province1286.tga
c_nuxisam.tga c_province1290.tga
c_nyasoto.tga c_province1304.tga
c_nyatayla.tga c_province1291.tga
c_nyatine.tga k_valles.tga
c_nye.tga d_duchy1307.tga
c_nyehayor.tga c_province1296.tga
c_nyiai.tga c_province1307.tga
c_nyigint.tga d_duchy1331.tga
c_nyilija.tga c_province1327.tga
c_nyon.tga c_province1341.tga
c_nyonu.tga c_province1331.tga
c_nyudadiq.tga d_duchy1348.tga
c_nyuning.tga c_province1337.tga
c_nyuvint.tga c_province1348.tga
c_qaasegs.tga d_duchy1374.tga
c_qabitya.tga c_province1360.tga
c_qachadu.tga c_province1374.tga
c_qaconas.tga d_valles.tga
c_qacoriy.tga c_province1309.tga
c_qadaatun.tga c_province1321.tga
c_qadaret.tga c_valles.tga
c_qadila.tga k_kingdom1379.tga
c_qadilai.tga d_duchy1355.tga
c_qadirgen.tga c_province1328.tga
c_qadobos.tga c_province1343.tga
c_qadoura.tga c_province1353.tga
c_qagira.tga c_province1365.tga
c_qagoshi.tga c_province1381.tga
c_qagunai.tga c_province1355.tga
c_qahanyo.tga d_duchy1357.tga
c_qahathi.tga c_province1338.tga
c_qahendi.tga c_province1362.tga
c_qahera.tga c_province1357.tga
c_qahovit.tga d_duchy1371.tga
c_qahuda.tga c_province1359.tga
c_qahusi.tga c_province1371.tga
c_qajacob.tga d_duchy1384.tga
c_qajan.tga c_argyre.tga
c_qajayim.tga c_province1384.tga
c_qajeco.tga d_duchy1379.tga
c_qajork.tga c_province1368.tga
c_qajuda.tga c_province1379.tga
c_qakapal.tga k_kingdom1322.tga
c_qakatha.tga d_duchy1302.tga
c_qakifa.tga c_province1299.tga
c_qakule.tga c_province1302.tga
c_qalalka.tga d_duchy1322.tga
c_qalastu.tga c_province1314.tga
c_qalins.tga c_province1325.tga
c_qalofan.tga c_province1322.tga
c_qalunda.tga e_empire1378.tga
c_qamafa.tga k_kingdom1277.tga
c_qamas.tga d_duchy1256.tga
c_qamaut.tga c_province1240.tga
c_qamavak.tga c_province1249.tga
c_qamelo.tga c_province1267.tga
c_qamire.tga c_province1268.tga
c_qamunka.tga c_province1256.tga
c_qan.tga d_duchy1293.tga
c_qana.tga c_province1287.tga
c_qanann.tga c_province1293.tga
c_qanarin.tga d_duchy1298.tga
c_qanasad.tga c_province1292.tga
c_qand.tga c_province1305.tga
c_qaneer.tga c_province1311.tga
c_qanenes.tga c_province1298.tga
c_qanine.tga d_duchy1277.tga
c_qaning.tga c_province1260.tga
c_qanisam.tga c_province1281.tga
c_qanorg.tga c_province1277.tga
c_qanou.tga k_kingdom1308.tga
c_qantala.tga d_duchy1306.tga
c_qanunai.tga c_province1295.tga
c_qanuo.tga c_province1300.tga
c_qaping.tga c_province1306.tga
c_qarais.tga d_duchy1317.tga
c_qarala.tga c_province1315.tga
c_qarar.tga c_province1316.tga
c_qararam.tga c_province1317.tga
c_qarata.tga d_duchy1320.tga
c_qaregin.tga c_province1313.tga
c_qareuta.tga c_province1319.tga
c_qariat.tga c_province1326.tga
c_qarim.tga c_province1334.tga
c_qarimha.tga c_province1320.tga
c_qaring.tga d_duchy1335.tga
c_qarita.tga c_province1333.tga
c_qarote.tga c_province1345.tga
c_qaroto.tga c_province1335.tga
c_qasahal.tga d_duchy1366.tga
c_qasazi.tga c_province1346.tga
c_qaseek.tga c_province1369.tga
c_qasudo.tga c_province1366.tga
c_qatar.tga d_duchy1308.tga
c_qathalli.tga c_province1297.tga
c_qato.tga c_province1312.tga
c_qattan.tga c_province1308.tga
c_qauftun.tga k_kingdom1342.tga
c_qautine.tga d_duchy1324.tga
c_qavari.tga c_province1323.tga
c_qavava.tga c_province1329.tga
c_qaxualis.tga c_province1336.tga
c_qay-ius.tga c_province1324.tga
c_qaysan.tga d_duchy1344.tga
c_qayti.tga c_province1340.tga
c_qaytiero.tga c_province1358.tga
c_qazara.tga c_province1364.tga
c_qeanala.tga c_province1370.tga
c_qeas.tga c_province1344.tga
c_qecanie.tga d_duchy1349.tga
c_qecanya.tga c_province1347.tga
c_qecorri.tga c_province1367.tga
c_qedand.tga c_province1349.tga
c_qedideva.tga d_duchy1354.tga
c_qefaya.tga c_province1351.tga
c_qegagos.tga c_province1354.tga
c_qeganca.tga d_duchy1342.tga
c_qegork.tga c_province1330.tga
c_qeinavi.tga c_province1332.tga
c_qeineth.tga c_province1339.tga
c_qeiruin.tga c_province1350.tga
c_qeisred.tga c_province1342.tga
c_qeitek.tga k_kingdom1378.tga
c_qeka.tga d_duchy1378.tga
c_qekiel.tga c_province1378.tga
c_qekozar.tga e_empire1388.tga
c_qelar.tga k_kingdom1388.tga
c_qeleig.tga d_duchy1388.tga
c_qena.tga c_province1388.tga
c_qenaran.tga e_empire1401.tga
c_qenda.tga k_kingdom1412.tga
c_qenes.tga d_duchy1393.tga
c_qeneth.tga c_province1385.tga
c_qeneuta.tga c_province1403.tga
c_qenotho.tga c_province1393.tga
c_qeoan.tga d_duchy1398.tga
c_qeodor.tga c_planum_australe.tga
c_qeonulay.tga c_province1406.tga
c_qerael.tga c_province1409.tga
c_qerania.tga c_province1398.tga
c_qerayan.tga d_duchy1431.tga
c_qered.tga c_province1426.tga
c_qerelle.tga c_province1451.tga
c_qerenna.tga c_province1431.tga
c_qereth.tga d_duchy1433.tga
c_qerge.tga c_province1423.tga
c_qer-mur.tga c_province1433.tga
c_qernlu.tga d_duchy1412.tga
c_qeroan.tga c_province1400.tga
c_qeseka.tga c_province1412.tga
c_qesuin.tga k_kingdom1459.tga
c_qeubka.tga d_duchy1436.tga
c_qeupana.tga c_province1414.tga
c_qevassa.tga c_province1443.tga
c_qevuna.tga c_province1436.tga
c_qeymuslo.tga d_duchy1437.tga
c_qezuzer.tga c_province1419.tga
c_qiacar.tga c_province1430.tga
c_qiatipa.tga c_province1440.tga
c_qibeas.tga c_province1437.tga
c_qibond.tga d_duchy1481.tga
c_qibuigi.tga c_province1458.tga
c_qiedas.tga c_province1470.tga
c_qieleka.tga c_province1491.tga
c_qiesanca.tga c_province1481.tga
c_qiesi.tga d_duchy1490.tga
c_qijenda.tga c_province1472.tga
c_qikaret.tga c_province1484.tga
c_qilach.tga c_province1499.tga
c_qilayya.tga c_province1490.tga
c_qilen.tga d_duchy1493.tga
c_qili.tga c_province1489.tga
c_qiline.tga c_province1506.tga
c_qilivka.tga c_province1493.tga
c_qilotus.tga d_duchy1459.tga
c_qimidis.tga c_province1456.tga
c_qimyuan.tga c_province1462.tga
c_qina.tga c_province1475.tga
c_qinanka.tga c_province1459.tga
c_qint.tga k_kingdom1477.tga
c_qiolng.tga d_duchy1466.tga
c_qiran.tga c_province1446.tga
c_qiraud.tga c_province1463.tga
c_qirula.tga c_province1466.tga
c_qiruzma.tga d_duchy1477.tga
c_qisano.tga c_province1457.tga
c_qisautas.tga c_province1477.tga
c_qisosz.tga k_kingdom1401.tga
c_qitram.tga d_duchy1392.tga
c_qituara.tga c_province1380.tga
c_qiudaac.tga c_province1395.tga
c_qiudar.tga c_province1392.tga
c_qivins.tga d_duchy1396.tga
c_qizavid.tga c_province1387.tga
c_qoanote.tga c_province1396.tga
c_qoet.tga d_duchy1401.tga
c_qohak.tga c_province1390.tga
c_qohewal.tga c_province1407.tga
c_qolawa.tga c_province1413.tga
c_qoleek.tga c_province1424.tga
c_qolesh.tga c_province1401.tga
c_qolichel.tga e_empire1405.tga
c_qolirai.tga k_kingdom1389.tga
c_qona.tga d_duchy1363.tga
c_qonabr.tga c_province1352.tga
c_qonain.tga c_province1356.tga
c_qoneek.tga c_province1372.tga
c_qonenes.tga c_province1375.tga
c_qonoa.tga c_province1363.tga
c_qonofia.tga d_duchy1373.tga
c_qoraba.tga c_province1361.tga
c_qorahar.tga c_province1376.tga
c_qorava.tga c_province1373.tga
c_qoreda.tga d_duchy1389.tga
c_qoreer.tga c_province1382.tga
c_qoruin.tga c_province1386.tga
c_qosagos.tga c_province1389.tga
c_qosai.tga k_kingdom1404.tga
c_qosecol.tga d_duchy1404.tga
c_qosita.tga c_province1397.tga
c_qosz.tga c_province1402.tga
c_qotiel.tga c_province1420.tga
c_qovya.tga c_province1404.tga
c_qoza.tga k_kingdom1411.tga
c_quanakk.tga d_duchy1391.tga
c_qudedek.tga c_province1383.tga
c_qudrd.tga c_province1391.tga
c_quduju.tga d_duchy1411.tga
c_quisipa.tga c_province1399.tga
c_qukoquz.tga c_province1408.tga
c_qula.tga c_province1425.tga
c_quleru.tga c_province1411.tga
c_qumegin.tga k_kingdom1432.tga
c_qumeya.tga d_duchy1432.tga
c_qumirai.tga c_province1427.tga
c_qunahad.tga c_province1432.tga
c_qunana.tga k_kingdom1405.tga
c_quradan.tga d_duchy1405.tga
c_qurilip.tga c_province1405.tga
c_qurille.tga e_empire1460.tga
c_qusais.tga k_kingdom1460.tga
c_qusbu.tga d_duchy1418.tga
c_qusith.tga c_province1416.tga
c_qutefan.tga c_province1439.tga
c_qyaa.tga c_province1448.tga
c_qyadaig.tga c_province1418.tga
c_qyald.tga d_duchy1486.tga
c_qyan.tga c_province1469.tga
c_qyaraqar.tga c_province1474.tga
c_qyaseka.tga c_province1486.tga
c_qyasema.tga d_duchy1460.tga
c_qyeferhi.tga c_province1441.tga
c_qyevons.tga c_province1460.tga
c_qyon.tga e_empire1508.tga
c_qyula.tga k_kingdom1496.tga
c_qyuo.tga d_duchy1496.tga
c_rabarin.tga c_province1488.tga
c_rabdasin.tga c_province1496.tga
c_rabdote.tga k_kingdom1508.tga
c_rabduan.tga d_duchy1508.tga
c_rabolon.tga c_province1508.tga
c_rabozar.tga e_empire1513.tga
c_rabula.tga k_kingdom1471.tga
c_rabuyan.tga d_duchy1429.tga
c_raceda.tga c_province1410.tga
c_radahim.tga c_province1444.tga
c_radakh.tga c_province1429.tga
c_radala.tga d_duchy1453.tga
c_radayla.tga c_province1434.tga
c_radeter.tga c_province1438.tga
c_radeva.tga c_province1453.tga
c_radili.tga d_duchy1465.tga
c_radude.tga c_province1447.tga
c_raduisa.tga c_province1464.tga
c_radyab.tga c_province1465.tga
c_rafelen.tga d_duchy1505.tga
c_ragakh.tga c_province1494.tga
c_ragega.tga c_province1518.tga
c_ragidda.tga c_province1505.tga
c_ragoriy.tga d_duchy1517.tga
c_ragui.tga c_province1498.tga
c_raguna.tga c_province1517.tga
c_ragyula.tga d_duchy1471.tga
c_raha.tga c_province1450.tga
c_rahadda.tga c_province1480.tga
c_rahala.tga c_province1471.tga
c_rahapal.tga k_kingdom1513.tga
c_rahar.tga d_duchy1513.tga
c_raheay.tga c_province1513.tga
c_rahelii.tga e_empire1522.tga
c_rahesa.tga k_kingdom1461.tga
c_rahille.tga d_duchy1435.tga
c_rahina.tga c_province1422.tga
c_rahpq.tga c_province1435.tga
c_rahu.tga d_duchy1461.tga
c_raicuslo.tga c_province1442.tga
c_raihona.tga c_province1449.tga
c_raihund.tga c_province1468.tga
c_raiida.tga c_province1461.tga
c_raisalio.tga k_kingdom1584.tga
c_rajare.tga d_duchy1546.tga
c_rajorg.tga c_province1540.tga
c_rajory.tga c_province1559.tga
c_rajyi.tga c_province1546.tga
c_rakaim.tga d_duchy1561.tga
c_rakana.tga c_province1557.tga
c_rakoda.tga c_province1581.tga
c_raks.tga c_province1561.tga
c_rakudan.tga d_duchy1564.tga
c_raladan.tga c_province1551.tga
c_ralald.tga c_province1570.tga
c_raland.tga c_province1564.tga
c_ralanka.tga d_duchy1614.tga
c_ralarun.tga c_province1595.tga
c_ralata.tga c_province1614.tga
c_raleka.tga d_duchy1615.tga
c_raleth.tga c_province1599.tga
